Volume of transfers of major arms
Figures are in millions of SIPRI trend-indicator values (TIVs).
A '0' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV. An empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 18 Oct 2024 5:29:10 PM

Exports by,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,1975-2017,Percentage,Sum total years,Percentage of total
United States,15619,15883,14623,13902,9906,10766,13639,14012,13933,11864,10786,11581,12175,11917,11286,10664,12484,14083,13766,11483,11177,10839,14498,15708,11538,7662,5600,4882,5643,6839,6738,7533,7956,7150,7191,8389,9024,8956,7694,9490,9868,9465,11444,459655,35%,459655,35%
Soviet Union,11360,9694,15258,17571,16973,18128,17105,16333,14820,14126,14387,14850,13476,12363,11614,9934,5524,,,,,,,,,,,,,,,,,,,,,,,,,,,233517,18%,233517,18%
Russia,,,,,,,,,,,,,,,,,,2639,3484,1533,3849,3610,3428,2062,4295,4492,5387,5840,5196,6290,5153,5135,5560,5993,5087,6240,8798,8275,7780,5335,5788,6706,6376,134332,10%,134332,10%
France,2313,2045,2728,3301,2947,3821,3683,3788,3415,2912,3999,2974,1743,1951,2280,1825,1196,1247,974,861,960,1850,3187,3132,1758,1033,1383,1393,1362,2140,1663,1497,2154,1889,1854,884,2248,1326,1799,1768,2271,2141,2315,92007,7.0%,92007,7.0%
Germany,1422,1658,1929,1606,1424,1593,1904,1514,2217,2933,1335,1364,924,1397,1273,1835,2418,1526,1559,2920,1552,1961,957,1851,1878,1646,869,902,1652,1103,2088,2485,3296,2380,2208,2357,1204,729,729,1822,1812,2509,1841,74584,5.7%,74584,5.7%
United Kingdom,2439,2514,2208,2221,1539,1589,2365,2514,2595,2567,2142,1985,3603,2528,3504,1837,1510,1093,1382,1513,1450,1608,2359,1400,1315,1623,1359,1076,769,1217,991,954,920,927,1073,1152,1007,817,1493,1658,1183,1324,1107,72431,5.5%,72431,5.5%
China,661,580,224,611,553,943,707,1557,1763,1931,1292,1862,2600,1425,1056,954,1321,670,1435,1083,1001,762,425,347,331,314,517,532,708,415,369,738,506,614,1136,1511,1263,1521,2061,1327,1814,2445,1625,45510,3.5%,45510,3.5%
Italy,520,523,505,661,1312,1172,1716,1683,1112,1232,868,223,623,385,316,200,354,249,342,208,301,288,449,426,519,208,269,477,359,260,830,535,697,429,508,580,965,784,886,674,687,621,705,26663,2.0%,26663,2.0%
Netherlands,148,293,448,235,243,612,801,661,457,364,180,356,505,776,558,416,455,383,458,628,458,484,616,639,355,281,199,233,331,202,504,1147,1219,452,504,366,541,871,384,643,469,484,1067,21422,1.6%,21422,1.6%
Israel,110,52,203,212,188,255,209,246,402,279,202,344,138,71,202,82,165,358,416,337,206,335,273,227,166,401,458,548,401,616,510,429,609,375,801,660,548,462,417,400,570,1236,1193,16313,1.2%,16313,1.2%
