Volume of transfers of major arms
Figures are in millions of SIPRI trend-indicator values (TIVs).
A '0' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV. An empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 18 Oct 2024 5:26:51 PM

Recipient,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,1975-2017,Percentage,Sum total years,Percentage of total
India,1133,1941,2374,1194,1199,1768,2123,2275,2637,2785,3004,4249,3922,3855,3676,2832,1873,1187,735,872,1396,822,1665,797,1212,987,1169,2001,2738,2212,1194,1479,2276,1624,1937,2886,3613,4429,5242,3201,2724,2553,2656,96448,7.4%,96448,7.4%
Saudi Arabia,549,696,1021,1020,765,1090,1810,2214,1818,834,1321,2839,2007,782,1382,2039,1038,1153,2358,981,983,1724,2790,2886,1580,105,60,560,160,1159,166,205,227,387,827,1108,1172,930,1511,2711,3384,2974,3968,59294,4.5%,59294,4.5%
Japan,1774,1656,960,1078,985,1057,1337,1450,1696,2052,1975,1894,1946,1998,2283,2682,2940,2519,2130,1025,1251,867,839,1484,1252,488,423,433,457,390,374,463,553,990,990,658,300,239,342,329,356,346,446,49706,3.8%,49706,3.8%
Iraq,1113,1136,1059,1782,1362,2246,2574,3258,3373,4540,3903,3355,3461,1905,1505,818,,,,,,,,,,,,,,74,196,308,299,382,419,474,621,520,373,629,1489,1823,945,45943,3.5%,45943,3.5%
South Korea,653,555,1198,376,1349,915,887,677,496,524,764,869,771,1220,1849,1214,921,795,1024,1029,1965,1984,1230,1417,1636,1399,774,520,754,1055,802,1659,1730,1691,798,1299,1568,1076,189,742,268,1038,962,44640,3.4%,44640,3.4%
China,3,3,75,86,10,6,2,13,25,71,113,20,56,104,199,312,483,1196,1243,320,716,1511,949,382,1730,2491,2773,2838,2334,3236,3478,2842,1700,1822,1386,979,1071,1601,1261,1041,1252,1223,1550,44506,3.4%,44506,3.4%
Turkiye,639,358,293,984,917,487,731,483,477,549,678,472,1429,1628,1017,1241,1270,1879,2329,1891,1567,1491,1512,2627,1734,1182,506,893,331,257,1094,529,701,649,731,467,756,1481,769,1527,445,328,429,41753,3.2%,41753,3.2%
Egypt,565,159,410,135,630,1004,1179,2501,1689,1516,979,1491,1653,427,297,563,887,973,1257,2020,1703,969,1050,482,520,834,829,717,631,648,809,695,660,326,95,689,653,308,719,430,1443,1641,2462,39648,3.0%,39648,3.0%
Iran,5230,4654,5710,3742,533,278,487,498,467,558,639,805,806,466,193,447,991,403,956,450,288,607,171,373,320,424,534,441,289,123,59,424,332,63,98,96,93,41,14,14,14,413,3,33546,2.6%,33546,2.6%
Taiwan,344,484,802,789,522,521,791,804,731,442,656,969,594,654,360,475,659,477,1157,858,1318,1433,4746,3939,1736,592,342,291,115,319,695,503,13,11,36,71,173,411,582,1048,600,93,487,32642,2.5%,32642,2.5%
Greece,912,1288,980,1281,739,668,961,463,403,366,189,202,36,526,1220,907,487,2146,892,1227,867,380,800,1718,837,713,788,402,2163,1098,406,719,1665,482,1228,630,70,19,28,204,728,302,51,32189,2.5%,32189,2.5%
Pakistan,223,276,270,655,696,860,491,544,784,863,751,280,617,412,974,635,511,352,992,862,368,507,692,699,867,175,412,566,645,471,431,324,694,1073,1194,2226,1142,1021,1107,860,771,831,873,29997,2.3%,29997,2.3%
Israel,1312,1934,1256,1321,688,1250,1654,866,487,286,309,1185,1080,582,24,81,1210,1335,716,761,366,108,59,1289,1191,354,116,350,189,846,1107,1125,840,680,157,71,86,136,160,549,688,622,535,29959,2.3%,29959,2.3%
United States,388,499,384,369,253,380,531,248,463,382,654,420,1993,1788,1783,363,516,541,973,958,791,588,610,261,220,327,488,497,592,575,535,651,834,985,989,1051,984,1224,797,595,512,435,495,28920,2.2%,28920,2.2%
Algeria,56,130,1052,1267,1823,1337,1381,1352,697,656,368,146,367,319,455,733,1035,23,22,197,311,83,37,98,370,405,539,252,204,251,159,340,507,1510,1063,831,1133,662,361,716,896,2914,1136,28194,2.2%,28194,2.2%
Libya,1647,1858,3064,4222,3173,2950,3142,2748,1408,730,746,401,184,9,218,11,,,,,,,,,6,,,,,,1,16,16,16,22,37,8,73,116,,,,,26821,2.1%,26821,2.1%
Australia,108,91,278,1029,192,404,449,129,632,622,511,815,592,743,692,352,213,364,448,262,64,597,35,542,678,326,1217,641,781,471,468,741,675,430,807,1558,1584,788,220,857,1470,1029,1664,26567,2.0%,26567,2.0%
UAE,153,283,304,217,18,201,427,160,163,310,144,137,199,42,661,561,237,201,578,565,420,480,686,753,435,244,183,221,676,1145,2072,1925,821,730,604,646,1239,1139,2283,738,1186,946,832,25966,2.0%,25966,2.0%
Syria,1411,527,931,871,2045,1867,1349,1983,2235,1811,1575,1262,1409,1312,663,739,315,277,166,14,25,25,25,45,48,49,23,40,64,20,30,95,15,309,220,433,513,526,511,26,22,8,37,25867,2.0%,25867,2.0%
United Kingdom,337,251,262,191,232,557,812,766,292,639,355,273,207,281,209,120,940,1134,783,411,496,568,496,752,132,937,1282,720,769,215,31,375,837,570,399,502,390,595,509,217,423,282,1002,21552,1.6%,21552,1.6%
Spain,1185,831,318,446,656,688,630,507,604,81,327,1089,1091,1942,840,699,109,207,299,853,355,424,211,86,361,320,144,271,249,300,358,312,343,347,228,272,166,219,155,108,152,104,82,18969,1.5%,18969,1.5%
Poland,963,785,924,1112,1127,1090,807,725,529,462,922,1386,1034,901,500,227,76,100,4,74,250,102,1,3,25,148,33,256,347,223,103,439,966,646,195,171,138,223,142,258,140,47,128,18729,1.4%,18729,1.4%
Singapore,254,253,171,50,338,410,167,176,245,83,123,84,277,542,233,513,370,111,170,179,302,165,619,804,308,788,248,234,85,380,544,76,397,1115,1415,936,876,749,756,68,153,637,404,16808,1.3%,16808,1.3%
Netherlands,96,266,587,699,774,621,757,1243,1333,1173,892,791,614,383,694,273,322,237,140,205,82,203,126,269,278,123,164,247,128,130,86,304,217,140,256,181,119,198,505,8,59,76,36,16032,1.2%,16032,1.2%
Germany,1831,1387,1042,691,65,150,261,453,434,412,130,322,334,443,701,710,688,679,529,417,222,244,60,543,129,113,133,71,63,237,199,406,46,278,331,307,84,131,113,95,96,55,43,15675,1.2%,15675,1.2%
Soviet Union,771,800,876,803,842,767,804,671,725,914,1004,1384,1538,1616,1206,694,132,,,,,,,,,,,,,,,,,,,,,,,,,,,15546,1.2%,15546,1.2%
Canada,195,53,90,130,190,441,452,276,649,646,848,810,787,712,37,150,752,407,196,473,405,419,351,115,192,576,538,436,153,353,118,113,481,423,104,242,356,207,202,316,408,252,373,15424,1.2%,15424,1.2%
Viet Nam,493,42,42,227,1249,1017,1073,532,916,557,28,78,50,65,128,116,,,,,273,214,111,209,168,11,97,58,22,299,221,42,8,186,61,161,1016,782,360,1225,869,924,783,14710,1.1%,14710,1.1%
East Germany (GDR),564,1320,1096,1141,969,899,813,1055,925,1147,1385,692,389,619,645,398,,,,,,,,,,,,,,,,,,,,,,,,,,,,14058,1.1%,14058,1.1%
Italy,1011,711,517,689,601,475,129,241,303,273,205,198,183,179,196,153,202,184,201,195,327,280,519,56,25,278,241,245,580,452,143,384,467,159,94,102,286,191,71,127,237,734,709,13551,1.0%,13551,1.0%
Indonesia,4,156,62,124,370,898,790,356,228,100,289,432,264,285,249,202,11,51,212,471,283,379,103,87,163,146,24,63,354,78,33,62,578,249,445,223,258,216,828,1196,437,353,1101,13212,1.0%,13212,1.0%
Afghanistan,90,230,75,281,365,354,384,299,241,373,158,288,567,1005,1976,1690,1236,,,,,,,,,,,34,,,33,3,40,148,326,365,633,525,261,332,139,171,236,12860,1.0%,12860,1.0%
