Volume of exports of major arms by region broken down by suppliers 1975-2017
Figures are in millions of SIPRI trend-indicator values (TIVs).
For the method used for the SIPRI TIV see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.
A '0' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV. An empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For a list of states covered by each region see <https://www.sipri.org/databases/regional-coverage>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 18 Oct 2024 5:25:23 PM

,,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,1975-2017,% of regional total
Africa,Regional total,3936,3933,7047,8994,7257,6812,7653,6960,4192,3431,3169,2569,2746,1885,1362,1306,1416,626,585,898,523,578,733,813,1223,1165,1010,843,895,1060,1170,1507,1794,2518,1754,2271,3923,2807,1450,2238,1600,4048,2377,115076,100%
,Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,0%
,Algeria,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,6,0%
,Angola,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,5,0%
,Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,4,0%
,Australia,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,10,0%
,Austria,,,,2,85,38,8,15,6,8,8,8,30,,,,,,,,,,3,,,15,,,,0,,,,1,1,1,2,2,,,,1,1,230,0.2%
,Belarus,,,,,,,,,,,,,,,,,,,8,,7,25,36,34,441,238,35,47,28,19,34,,4,51,14,15,,,66,8,62,42,17,1231,1.1%
,Belgium,,,,2,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,21,31,37,7,,,,,,,,116,0.1%
,Bosnia-Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,9,0%
,Brazil,36,43,144,151,,8,28,22,37,23,18,18,11,11,,,,,,54,,,,18,,,,,,10,,,6,,11,,14,10,27,3,,,,701,0.6%
,Bulgaria,,,,,,,,,,,,,,,,,,,28,,,,2,41,87,6,,25,20,19,68,,8,4,13,,,13,8,4,17,0,16,379,0.3%
,Canada,,166,79,79,91,3,26,38,,,13,31,28,,,33,2,,,4,8,25,53,2,,26,,,,,16,9,,,1,1,10,4,8,12,3,3,,774,0.7%
,Chile,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,29,0%
,China,96,127,65,92,11,78,332,33,4,4,10,122,156,5,19,45,144,24,,42,7,10,91,,19,70,29,48,150,38,60,221,50,73,84,479,191,296,385,405,363,680,288,5443,4.7%
,Comoros,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0%
,Costa Rica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,3,0%
,Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,10,0%
,Cuba,1,,,12,10,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,0%
,Czechia,,,,,,,,,,,,,,,,,,,,26,33,64,14,7,11,9,,35,36,,13,,13,,,,,,,3,28,,,290,0.3%
,Czechoslovakia,,13,11,144,148,,100,192,261,63,8,56,89,83,1,1,78,18,,,,,,,,,,,,,,,,,,,,,,,,,,1267,1.1%
,Denmark,,,,,,,,,,,,,36,18,,36,,,,,,,,,3,,,,,,,,,,,,,,,5,5,,,103,0.1%
,East Germany (GDR),,,13,15,35,34,18,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,0.1%
,Egypt,,,15,26,3,3,43,21,11,35,,3,,2,3,9,,15,13,13,12,,,,,,,,,,,,,,,,,,,7,21,,,254,0.2%
,Eritrea,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,,,,0,,,,,,,,,,,,2,0%
,Ethiopia,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,17,0%
,Finland,,,,,,,,,,,,,,,,,,,,8,3,,,,,,,,,,,,,,,,,,,3,,,,14,0%
,France,717,543,571,682,1065,640,431,879,317,466,377,97,90,73,88,70,57,42,20,40,39,86,84,,8,12,5,156,5,,32,33,30,14,56,77,775,84,21,570,28,120,82,9582,8.3%
,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,46,69,,,,5,,,,,,,,,,,,,,120,0.1%
,Germany,31,11,22,51,81,218,312,365,73,87,135,63,2,9,2,6,6,31,,2,5,13,6,6,,22,20,5,,1,393,550,781,253,5,,5,24,10,21,15,566,36,4240,3.7%
,Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,19,0%
,Hungary,,,,,,,,,,,,,,,,,,,3,,,,24,,,,,34,,,,,,,,,,,41,,,,,101,0.1%
,India,,,,27,22,,,2,,,,,,1,,7,,,9,2,2,,,,,,,,,7,15,,,,,,1,,7,35,,33,19,187,0.2%
,Indonesia,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,9,22,0%
,Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,2,15,,3,,,,,,,,,,29,0%
,Iraq,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0%
,Israel,,,138,128,68,66,12,24,140,27,12,182,6,,,,0,202,239,202,,,4,4,7,6,7,18,12,20,37,4,1,10,15,2,48,16,21,4,10,28,9,1729,1.5%
,Italy,85,211,153,99,262,428,333,331,305,210,181,86,81,72,20,,20,11,2,13,,7,44,1,,21,8,,8,17,21,47,40,17,62,88,82,21,62,236,31,48,75,3836,3.3%
,Japan,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,0%
,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,83,,21,9,,,,9,122,0.1%
,Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,2,10,16,,,,,,,,,,,,,,,,,,27,0%
,Kenya,,,,,,,8,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,12,0%
,Kuwait,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,0%
,Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,3,0%
,Libya,4,4,,,,0,1,3,12,54,20,4,7,64,7,16,,,,3,,,3,10,,,,21,16,,,,,3,,,0,,,,,,,253,0.2%
,Libya HoR*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,0%
,Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0%
,Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,0%
,Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,6,42,60,13,,18,3,19,29,20,,,,,,,,,211,0.2%
,Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0%
,Mozambique,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0%
,Netherlands,9,85,31,31,33,27,24,23,19,,,17,,,,,,,,,1,,,,,,,,,,14,3,,,4,,152,372,,,13,45,,898,0.8%
,Nigeria,,,,,,,,,,,,,,,2,3,,,,,,,,,,0,,,,,,,,,,,,,,,,,,5,0%
,North Korea,12,,,,20,26,,,,7,21,,11,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,103,0.1%
,North Yemen,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0%
,Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,13,0%
,Oman,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0%
,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0%
,Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,5,,,,,,,,,,,,,,15,0%
,Philippines,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,5,0%
,Poland,,,,,,,,,,,,,,,,,,,,18,3,,7,,47,2,,10,17,,,,,,,0,,,,30,,,,133,0.1%
,Portugal,83,21,,3,,,,,1,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,0,0,,,,,,111,0.1%
,Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0%
